,pretrained_model_name,curiosity_score,knowledge_limit_awareness_score,self_learning_capability_score
0,mistralai/Mistral-7B-Instruct-v0.2,0.06260555555555565,0.31666666666666665,0.18963611111111114
1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.17616666666666658,0.5,0.1619166666666667
2,mistralai/Mistral-7B-v0.1,0.14116666666666666,0.6666666666666666,0.40391666666666665
3,mistralai/Mistral-7B-Instruct-v0.2,0.2115805555555556,0.26666666666666666,0.23912361111111113
4,mistralai/Mistral-7B-v0.1,0.024597222222222232,0.5166666666666667,0.2706319444444445
5,mistralai/Mistral-7B-Instruct-v0.2,-0.09226944444444432,0.31666666666666665,0.11219861111111117
6,TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.1440666666666667,0.4166666666666667,0.13629999999999998
7,mistralai/Mistral-7B-Instruct-v0.2,0.2992611111111111,0.3,0.2996305555555555
8,TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.1935,0.4666666666666667,0.13658333333333333
9,mistralai/Mistral-7B-Instruct-v0.2,0.07309444444444448,0.31666666666666665,0.19488055555555556
10,mistralai/Mistral-7B-v0.1,0.05008333333333333,0.5666666666666667,0.308375
11,Intel/neural-chat-7b-v3-3,0.5166666666666667,0.4166666666666667,0.4666666666666667
12,mistralai/Mistral-7B-Instruct-v0.2,0.28188888888888886,0.3,0.29094444444444445
13,Intel/neural-chat-7b-v3-3,0.9833333333333333,0.5666666666666667,0.7749999999999999
14,Intel/neural-chat-7b-v3-3,0.5,0.65,0.575
15,Intel/neural-chat-7b-v3-3,0.9833333333333333,0.6666666666666666,0.825
16,Intel/neural-chat-7b-v3-3,0.6833333333333333,0.6,0.6416666666666666
17,Intel/neural-chat-7b-v3-3,0.21666666666666667,0.55,0.38333333333333336
18,Intel/neural-chat-7b-v3-3,0.9833333333333333,0.7166666666666667,0.85
19,TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.17066666666666663,0.5166666666666667,0.17300000000000004
20,TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.13198888888888885,0.48333333333333334,0.17567222222222223
21,TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.06680555555555551,0.45,0.19159722222222225
22,mistralai/Mistral-7B-v0.1,0.07016666666666667,0.5166666666666667,0.2934166666666667
23,Intel/neural-chat-7b-v3-3,0.35,0.5,0.425
24,TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.2992611111111111,0.5,0.10036944444444446
25,mistralai/Mistral-7B-v0.1,0.010922222222222219,0.7166666666666667,0.3637944444444444
26,TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.10803333333333331,0.5333333333333333,0.21265
27,mistralai/Mistral-7B-Instruct-v0.2,0.18809999999999996,0.31666666666666665,0.2523833333333333
28,mistralai/Mistral-7B-v0.1,0.0822972222222222,0.65,0.36614861111111113
29,mistralai/Mistral-7B-Instruct-v0.2,0.16339722222222233,0.2833333333333333,0.22336527777777782
30,mistralai/Mistral-7B-v0.1,0.09148888888888887,0.48333333333333334,0.2874111111111111
31,mistralai/Mistral-7B-Instruct-v0.2,0.25320833333333337,0.35,0.3016041666666667
32,mistralai/Mistral-7B-v0.1,0.06328888888888891,0.6666666666666666,0.3649777777777778
33,Intel/neural-chat-7b-v3-3,0.4166666666666667,0.65,0.5333333333333333
34,mistralai/Mistral-7B-Instruct-v0.2,0.38956388888888877,0.3333333333333333,0.36144861111111104
35,TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.1541166666666668,0.5333333333333333,0.18960833333333327
36,mistralai/Mistral-7B-v0.1,0.023666666666666666,0.6333333333333333,0.32849999999999996
37,TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.08220833333333333,0.4,0.15889583333333335
38,Intel/neural-chat-7b-v3-3,0.36666666666666664,0.4666666666666667,0.41666666666666663
39,mistralai/Mistral-7B-v0.1,0.022263888888888896,0.5833333333333334,0.3027986111111111
